step,waiting_time,queue_length,average_speed
0,0.00,0,0.00
1,0.00,2,0.00
2,0.00,0,2.12
3,0.00,0,3.33
4,0.00,2,3.27
5,0.00,0,5.49
6,0.00,0,7.40
7,0.00,0,9.43
8,0.00,0,10.79
9,0.00,0,11.65
10,0.00,0,12.26
11,0.00,0,12.65
12,0.00,0,12.79
13,0.00,2,10.16
14,0.00,0,8.89
15,0.00,0,9.59
16,0.00,0,10.18
17,0.00,0,10.54
18,0.00,0,10.32
19,0.00,0,10.77
20,0.00,0,10.67
21,0.00,0,11.04
22,0.00,0,10.72
23,0.00,0,10.43
24,0.00,0,10.70
25,0.00,2,9.34
26,0.00,0,10.16
27,0.00,0,9.73
28,0.00,0,10.46
29,0.00,0,11.07
30,0.00,0,11.49
31,0.00,1,10.22
32,0.00,0,10.33
33,0.00,0,10.69
34,0.00,0,10.76
35,0.00,0,10.53
36,0.00,0,10.55
37,2.00,4,8.83
38,4.00,2,8.82
39,6.00,2,8.57
40,9.00,4,7.51
41,2.00,1,7.87
42,1.00,0,7.79
43,2.00,0,7.98
44,4.00,1,8.28
45,7.00,2,8.05
46,1.00,0,8.69
47,0.00,0,8.86
48,1.00,1,9.05
49,0.00,2,8.00
50,0.00,0,8.41
51,1.00,1,9.09
52,3.00,2,9.86
53,5.00,2,9.48
54,7.00,2,9.83
55,9.00,2,10.39
56,11.00,2,10.47
57,13.00,2,10.49
58,15.00,2,10.51
59,17.00,2,10.20
60,19.00,2,10.07
61,21.00,4,8.83
62,23.00,2,9.07
63,25.00,2,9.52
64,28.00,3,9.45
65,32.00,5,9.18
66,36.00,4,8.55
67,40.00,4,8.50
68,45.00,5,8.89
69,50.00,5,9.01
70,55.00,5,8.82
71,60.00,5,8.24
72,65.00,5,8.09
73,71.00,8,6.96
74,77.00,6,7.20
75,83.00,6,7.42
76,89.00,7,6.88
77,96.00,7,7.26
78,103.00,7,7.44
79,110.00,7,7.06
80,118.00,8,7.41
81,65.00,6,7.85
82,34.00,4,8.09
83,11.00,2,8.40
84,0.00,0,8.89
85,1.00,3,8.76
86,0.00,0,9.25
87,0.00,0,9.37
88,0.00,0,9.63
89,1.00,1,9.59
90,4.00,3,9.43
91,3.00,4,7.94
92,2.00,2,8.35
93,2.00,1,8.24
94,3.00,1,8.04
95,5.00,1,8.58
96,8.00,2,8.82
97,12.00,5,8.33
98,16.00,3,8.21
99,21.00,4,8.12
100,27.00,4,7.60
101,26.00,4,7.35
102,15.00,3,7.04
103,9.00,1,7.02
104,13.00,2,6.79
105,20.00,2,6.88
106,28.00,3,7.04
107,36.00,3,7.27
108,45.00,4,7.18
109,54.00,5,6.74
110,63.00,5,6.36
111,57.00,3,6.51
112,58.00,3,6.51
113,59.00,1,6.93
114,63.00,1,7.21
115,69.00,0,7.36
116,76.00,0,7.83
117,83.00,0,7.69
118,92.00,2,8.03
119,101.00,2,7.88
